review_id,review,positive_first,use_negative_dot,use_positive_dot,positive_len_1,positive_len_2,negative_len_1,negative_len_2,positive_negative_len_prop_1,positive_negative_len_prop_2,use_extreme_positive_words_1,use_extreme_positive_words_2,use_extreme_positive_words_3,use_extreme_negative_words_1,use_extreme_negative_words_2,use_extreme_negative_words_3,topic_price_positive,topic_facilities_positive,topic_design_positive,topic_location_positive,topic_room_positive,topic_staff_positive,topic_food_positive,topic_metro_positive,topic_bathroom_positive,topic_view_positive,topic_price_negative,topic_staff_negative,topic_bathroom_negative,topic_room_negative,topic_food_negative,topic_location_negative,topic_facilities_negative,topic_air_negative,use_negative_nothing_to_dislike,use_positive_nothing,detailed,list,positive_buttom_line_recommendation,negative_buttom_line_recommendation
0,"Negative: A bit noisy but the staff sent up a bottle of red wine the day after we had to call about noise at 2am. They also had some fruit flies buzzing about in the restaurant  Positive: Location can't be beat. Just a few steps to get to theatre train tube and Thames. However with that central location you get a bit more noise than some may like. Staff was very helpful. Slept through most breakfasts but the one day we ate in the hotel it was delicious 
",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer. Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot.,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2,"Positive: Location can't be beat. Just a few steps to get to theatre train tube and Thames. However with that central location you get a bit more noise than some may like. Staff was very helpful. Slept through most breakfasts but the one day we ate in the hotel it was delicious 
Negative: A bit noisy but the staff sent up a bottle of red wine the day after we had to call about noise at 2am. They also had some fruit flies buzzing about in the restaurant ",1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer.,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4,"Negative: My a little tight room on the ground floor had a window but needed to be curtained. The door of bathroom automatically closes tight and the inside becomes quite steamy  Positive: Small hotel, well maintained with nice breakfast. Staff were friendly and helpful 
",0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
5,Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer. Positive: Perfect location a few steps from Plaza Catalunya. Balcony room has great view and individual plunge pool option is a bonus. Free snacks and drinks available. Staff were extremely warm and helpful.,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6,"Positive: Small hotel, well maintained with nice breakfast. Staff were friendly and helpful 
Negative: My a little tight room on the ground floor had a window but needed to be curtained. The door of bathroom automatically closes tight and the inside becomes quite steamy ",1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
7,Positive: Perfect location a few steps from Plaza Catalunya. Balcony room has great view and individual plunge pool option is a bonus. Free snacks and drinks available. Staff were extremely warm and helpful. Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer.,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
8,"Negative: Very small room, hotel old decoration and carpets no restauranta nither bar  Positive: The kindness of the personal of the hotel. 
",0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9,"Negative: Nothing to dislike. Positive: Great location for the city centre, friendly helpful staff, cleanliness, comfort, great free snacks in the afternoon. Met all our needs.",0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
